Name,TrialNumber,TestType,GivenValue,ActualValue,ReportedValue,Old,New,,,,,,,,
DF,39,Area,37,24,30,0.48449511,1.070213899,,,,,,,,
DF,40,Velocity,66,22,45,0.348614571,1.23151414,,,,,,,,
RE,1,Velocity,21,48,30,0.431455411,0.878589712,,,,,,,,
RE,2,Area,3,88,85,0.989734127,0.992253083,,,,,,,,
RE,3,Length,64,1,2,0.833333333,1,,,,,,,,
RE,4,Area,77,14,20,0.790775572,1.135152405,,,,,,,,
RE,5,Brightness,33,5,5,1,1,,,,,,,,
RE,6,Brightness,76,95,80,0.229866801,0.962262867,,,,,,,,
RE,7,Brightness,48,91,55,0.212820083,0.888374639,,,,,,,,
RE,8,Velocity,93,51,40,1.40438873,0.938210338,,,,,,,,
RE,9,Length,63,24,25,0.957700961,1.012844966,,,,,,,,
RE,10,Length,74,14,15,0.958563033,1.026142998,,,,,,,,
RE,11,Velocity,65,46,58,0.329560721,1.060544091,,,,,,,,
RE,12,Velocity,88,83,85,0.59295397,1.005388438,,,,,,,,
RE,13,Length,43,66,52,0.44355596,0.943095305,,,,,,,,
RE,14,Brightness,21,29,28,0.891281869,0.989578783,,,,,,,,
RE,15,Area,3,79,60,0.915892045,0.937039347,,,,,,,,
RE,16,Length,41,71,60,0.693438499,0.960509511,,,,,,,,
RE,17,Brightness,53,32,40,0.557742755,1.064385619,,,,,,,,
RE,18,Velocity,11,11,11,0,1,,,,,,,,
RE,19,Length,42,19,20,0.935336216,1.017420396,,,,,,,,
RE,20,Velocity,62,30,55,0.165029747,1.178212475,,,,,,,,
RE,21,Area,30,79,50,0.527575911,0.895312895,,,,,,,,
RE,22,Brightness,44,18,20,0.882123061,1.036452237,,,,,,,,
RE,23,Length,33,98,80,0.813552304,0.955737779,,,,,,,,
RE,24,Area,41,1,1,1,0,,,,,,,,
RE,25,Brightness,23,30,30,1,1,,,,,,,,
RE,26,Area,38,58,42,0.236684018,0.920507838,,,,,,,,
RE,27,Length,41,9,10,0.930516906,1.047951637,,,,,,,,
RE,28,Brightness,11,41,60,1.289411881,1.102535373,,,,,,,,
RE,29,Area,26,6,10,0.651631515,1.285097209,,,,,,,,
RE,30,Brightness,50,77,60,0.422253315,0.942570895,,,,,,,,
RE,31,Velocity,47,1,30,0.116605976,4.906890596,,,,,,,,
RE,32,Velocity,75,88,80,0.403747549,0.978712752,,,,,,,,
RE,33,Length,59,54,57,0.389439334,1.013554133,,,,,,,,
RE,34,Length,43,1,2,0.815711167,1,,,,,,,,
RE,35,Brightness,16,79,60,0.827722255,0.937039347,,,,,,,,
RE,36,Velocity,78,14,20,0.792347316,1.135152405,,,,,,,,
RE,37,Velocity,76,48,50,0.911166219,1.010545046,,,,,,,,
RE,38,Area,40,4,6,0.823908741,1.29248125,,,,,,,,
RE,39,Area,85,52,70,0.395101824,1.075229863,,,,,,,,
